author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5003522988,Melissa Reichman,https://openalex.org/I2801107848,New York Hospital Queens,2009,2025,,NEW YORK HOSPITAL QUEENS,40.7467722760001,-73.8254163829999,0.0417498423540367,,,,,,,29,474,healthcare,16,0,16,False,1,1,0
https://openalex.org/A5003522988,Melissa Reichman,https://openalex.org/I1340179700,NewYork–Presbyterian Hospital,2009,2025,,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4212931995566836,,,,,,,29,474,healthcare,16,0,16,False,1,1,0
https://openalex.org/A5003522988,Melissa Reichman,https://openalex.org/I205783295,Cornell University,2009,2025,,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,,,,,29,474,education,16,0,16,False,1,1,0
https://openalex.org/A5003522988,Melissa Reichman,https://openalex.org/I4210096498,Presbyterian Hospital,2009,2025,,PRESBYTERIAN HOSPITAL,35.0816332380001,-106.63549872,0.0155405724460574,,,,,,,29,474,healthcare,16,0,16,False,1,1,0
https://openalex.org/A5100523913,Qianfan Xu,https://openalex.org/I205783295,Cornell University,2003,2012,,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,,,,,107,12341,education,9,0,9,False,0,1,0
https://openalex.org/A5100523913,Qianfan Xu,https://openalex.org/I74775410,Rice University,2009,2015,,ST. JOSEPH MEDICAL CENTER,29.7481161270001,-95.366148139,1.7088830518941125,,,,,,,107,12341,education,6,0,6,False,0,1,0
https://openalex.org/A5008450550,Jean‐Baptiste Micol,https://openalex.org/I277688954,Université Paris-Saclay,2016,2024,0000-0003-0934-294X,,,,,1975-01-01T00:00:00Z,,0000-0003-0934-294X,,,Q90406627,224,5291,education,8,1,8,False,0,1,0
https://openalex.org/A5008450550,Jean‐Baptiste Micol,https://openalex.org/I204730241,Université Paris Cité,2011,2020,0000-0003-0934-294X,,,,,1975-01-01T00:00:00Z,,0000-0003-0934-294X,,,Q90406627,224,5291,education,9,1,9,False,0,1,0
https://openalex.org/A5020725876,R.J. Lachicotte,https://openalex.org/I5388228,University of Rochester,1997,2010,,THE UNITY HOSPITAL OF ROCHESTER-ST MARYS CAMPUS,43.148695284,-77.637099746,1.873628521482556,,,,,,,280,7024,education,13,0,13,False,0,1,0
https://openalex.org/A5020725876,R.J. Lachicotte,https://openalex.org/I150468666,Emory University,1993,1999,,GRADY MEMORIAL HOSPITAL,33.751988554,-84.3817915719999,0.6614313289417885,,,,,,,280,7024,education,6,0,6,False,0,1,0
https://openalex.org/A5020725876,R.J. Lachicotte,https://openalex.org/I204593131,College of Charleston,1990,1996,,ROPER HOSPITAL,32.782793918,-79.949276415,1.8501259071915648,,,,,,,280,7024,education,6,0,6,False,0,1,0
https://openalex.org/A5045755997,Alexander Böker,https://openalex.org/I176453806,University of Potsdam,2015,2025,0000-0002-5760-6631,,,,,1973-09-17T00:00:00Z,,0000-0002-5760-6631,nb2015020105,University of Potsdam,Q28381889,260,11056,education,10,1,10,False,0,1,1
https://openalex.org/A5045755997,Alexander Böker,https://openalex.org/I205783295,Cornell University,2000,2017,0000-0002-5760-6631,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,1973-09-17T00:00:00Z,,0000-0002-5760-6631,nb2015020105,University of Potsdam,Q28381889,260,11056,education,17,1,17,False,0,1,1
https://openalex.org/A5100675929,Qiu Wang,https://openalex.org/I70983195,Syracuse University,2012,2025,0000-0003-1635-8050,ST JOSEPH'S HOSPITAL HEALTH CENTER,43.055933075,-76.1500616719999,0.894995360519316,1989-04-14T00:00:00Z,,,,,Q3546149,175,2519,education,13,0,13,False,1,1,1
https://openalex.org/A5100675929,Qiu Wang,https://openalex.org/I24185976,Sichuan University,2012,2025,0000-0003-1635-8050,,,,,1989-04-14T00:00:00Z,,,,,Q3546149,175,2519,education,13,0,13,False,1,1,1
https://openalex.org/A5016481057,Michael J. Gerver,https://openalex.org/I63966007,Massachusetts Institute of Technology,1983,1990,,SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,42.3753221040001,-71.106943456,0.1122862784625716,1942-01-01T00:00:00Z,,,n83132893,,Q108875650,65,523,education,7,1,7,False,1,1,0
https://openalex.org/A5016481057,Michael J. Gerver,https://openalex.org/I4210149442,Fusion Academy,1983,1990,,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,42.9696691940001,-85.665746666,0.6563917316076635,1942-01-01T00:00:00Z,,,n83132893,,Q108875650,65,523,education,7,1,7,False,1,1,0
